# attribute, value, displayName, owner, requestable, SOXRelevant,Privileged,Exclude,en_US
# application=All Fusion Harvest Change Manager,,,,,,,,
memberOf,"CN=RL.App.Harvest.Administrators.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Administrators,A9SN3,TRUE,TRUE,TRUE,FALSE,Harvest Administrators
memberOf,"CN=RL.App.Harvest.EntChgMgMnt.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.EntChgMgMnt.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: EntChgMgMnt.
memberOf,"CN=RL.App.Harvest.Test_Release.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.Test_Release.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: Test_Release
memberOf,"CN=rl.app.harvest.softwareconfigmgmnt.approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.softwareconfigmgmnt.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Used by Software Configuration Managers for Software Builds
memberOf,"CN=RL.App.Harvest.bdo.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.bdo.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: bdo
memberOf,"CN=RL.App.Harvest.CBI.Approvers,OU=ADS,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.CBI.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Software Configuration Management Approvers used to approve packages to move to all environments
memberOf,"CN=RL.App.Harvest.ChannelApplications.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.ChannelApplications.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: ChannelApplications.
memberOf,"CN=RL.App.Harvest.DIL.Approvers,OU=ADS,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.DIL.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: DIL.
memberOf,"CN=RL.App.Harvest.EnterpriseApplications.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.EnterpriseApplications.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: EnterpriseApplications.
memberOf,"CN=RL.App.Harvest.FSU.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.FSU.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: FSU.
