# attribute, value, displayName, owner, requestable, SOXRelevant,Privileged,en_US
# application=Encore
Role,1,Auditor,UCJK7,TRUE,FALSE,FALSE,Allows read only access to view applications in Encore. Role created for ST teammates and/or external auditors
Role,2,Administrator,UCJK7,TRUE,TRUE,TRUE,Access to manage data access and activity permissions in Encore using the Admin tab
Role,3,Chief Loan Officer,UCJK7,TRUE,TRUE,FALSE,All Credit Access to Encore for loan decisioning; Highest Loan Amount approval; Limited access to Servicing to support manager of servicing
Role,4,Servicing Admin,UCJK7,TRUE,FALSE,FALSE,Confirms the daily totals of the wire and ach funding files
Role,5,Collections,UCJK7,TRUE,FALSE,FALSE,ST collections teammate to view Encore and work funded delinquent account per Collections procedure.
Role,6,Restricted View,UCMP0,TRUE,FALSE,FALSE,View only access with no view of applicant(s) personal data
Role,7,Loan Officer 3,UCJK7,TRUE,TRUE,FALSE,"Reviews and decisions the loan application up to $75,000 for all loans"
Role,8,Account Services Rep 3,UCJK7,TRUE,FALSE,FALSE,Supports all customer contact via email and phone for servicing the loan; Answers general email communication from clients; Supports payment processing
Role,9,Fraud Analyst 3,UCJK7,TRUE,FALSE,FALSE,Verify documentation for qualifying applicant(s) and research and review application data for fraud. Support audit of funding file.
Role,10,IT Read Only,UCMP0,TRUE,FALSE,FALSE,Provides user read only access to view applications in Encore. Role used by LightStream IT teammates.
Role,11,Loan Officer Jr,UCJK7,TRUE,TRUE,FALSE,"Reviews and decisions the loan application up to $25,000 for auto loans"
Role,12,Loan Officer 1,UCJK7,TRUE,TRUE,FALSE,"Reviews and decisions the loan application up to $25,000 for all loans"
Role,13,Loan Officer 2,UCJK7,TRUE,TRUE,FALSE,"Reviews and decisions the loan application up to $50,000 for all loans"
Role,14,Loan Officer 4,UCJK7,TRUE,TRUE,FALSE,"Reviews and decisions the loan application up to $100,000 for all loans"
Role,15,EmployeeLoanViewer,UCJK7,TRUE,FALSE,FALSE,Allows access to view LightStream and SunTrust Employee loans in Encore
Role,16,CMSEdit,UCKS1,TRUE,FALSE,FALSE,Ability to checkout edit and checkin cms content
Role,17,CMSCompliance,UCKS1,TRUE,FALSE,FALSE,Ability to approve cms content
Role,18,CMSEGovernance,UCKS1,TRUE,FALSE,FALSE,Ability to approve cms content
Role,19,CMSLegal,UCKS1,TRUE,FALSE,FALSE,Ability to approve cms content
Role,20,CMSPublish,UCKS1,TRUE,FALSE,FALSE,Ability to publish CMS content
Role,21,CMSUser,UCKS1,TRUE,FALSE,FALSE,Ability to view CMS content
Role,22,RateEditor,UCKS1,TRUE,FALSE,FALSE,Ability to edit interest rates
Role,23,RatePublisher,UCKS1,TRUE,FALSE,FALSE,Ability to publish interest rates
Role,24,GenericPartnerEdit,UNTN12,TRUE,FALSE,FALSE,Ability to add or edit a generic partner api
Role,25,GenericPartnerPublish,UNTN12,TRUE,FALSE,FALSE,Ability to publish a generic partner api
