Role,Profile Description,Profile Filter(s),Profile Application,SoxCritical,Privileged,Owner
DEL00INQ,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 00";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U"})',ACAPS,FALSE,FALSE,ZLP3
DEL00TST,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 00";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-TEST-ONLY"})',ACAPS,FALSE,FALSE,ZLP3
DEL10DEL,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 10";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-ST-TRANSITION-OVRD-IND";"USR-CONTROL-TBL-ACCESS-IND I";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-OVRD-AUTO-VAL-IND";"USR-TYPE I"})',ACAPS,TRUE,FALSE,ZLP3
DEL10INQ,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 10";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U"})',ACAPS,FALSE,FALSE,ZLP3
DEL10SEC,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 10";"USR-CONTROL-TBL-ACCESS-IND Y";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 0";"USR-TYPE U";"USR-TEST-ONLY"})',ACAPS,TRUE,FALSE,ZLP3
DEL20GEN,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 20";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U"})',ACAPS,FALSE,FALSE,ZLP3
DEL20BCO,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 20";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-ARL-REQ-IND";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-SS-ACT-ACCESS";"USR-INACTIVE-OVRD-IND B"})',ACAPS,TRUE,FALSE,ZLP3
DEL20ROV,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 20";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-BO-RO-OVERRIDE P"})',ACAPS,TRUE,FALSE,ZLP3
DEL20TST,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 20";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-TEST-ONLY"})',ACAPS,FALSE,FALSE,ZLP3
DEL20WQA,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 20";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-ARL-REQ-IND";"USR-SUPERVISOR-FLAG"})',ACAPS,TRUE,FALSE,ZLP3
